,Tracking Number,Description/Basis for Appeal
76,EPA-R5-2013-003748,"I have been trying to locate additional information about a spill incident that occurred on a commercial property that i am performing an environmental site assessment for in Indianapolis, IN.  The spill was reported as HMIRS DOT however, upon contacting them, they indicated that the spill number was an EPA number.  specifically, i need to know what was spilled, how much of it, where on the property, and how was it remediated.  here is the property information:  7740 Johnson Road, Indianapolis, marion county, IN  incident number 2005090789, the spill was reported on September 6, 2005 and occurrred on august 31, 2005.  thanks in advance for your assistance."
77,EPA-R9-2014-008726,"?	Hello 

Through an FOIA Request, I am requesting the following for all of Region 9 in Excel format. 

A listing of Underground Storage Tank Site locations on Indian Land. 

Information I would like is: 

Site Id Tankid Tankstatusdesc Dateoftankstatuschange Substancedesc Overfillinstalled Spillinstalled Tribe Locname Locstr City State Zip Locphone Dateinstalled 


Thank you"
78,EPA-R5-2013-000019,"This file search request is being submitted pursuant to the Freedom of Information Act.

I would like copies of your files regarding any environmental issues associated with:

Property at 224 East 103rd Street, Chicago, Illinois, 60628,

including, but not limited to:

Air pollution incidents, furnace and boiler permits, fires, and explosions;
Fuel/chemical storage tanks, including permits regarding installation, inspection, improvement, and removal;
Leaking underground storage tanks, and other incidents of hazardous substance, petroleum or pesticide storage, spills, and releases, hazardous waste dumping, on-site solid waste dumping, and open burning;
Sanitary sewer systems, water pollution incidents, discharge permits, and related information;
Date of annexation, zoning history, construction history, construction and building permits, and prior uses;
Wetlands and endangered species;
Environmental violations or liens, and health inspections; and
Any other pollution-related information for the property described above.

This information will be used for a Phase I Environmental Site Assessment.

Please check any files you have regarding the above-described site including but not limited to the CERCLIS, CERCLIS-NFRAP, NPL, proposed NPL, delisted NPL, CORRACTS, RCRIS,  ERNS, FUDS, and FINDS databases.

If you have any questions, please do not hesitate to contact me at 847-519-3430, extension 426, or marko@pec-inc.com.  My fax number is 847-519-3431.

Thank you.

Joel Marko
Environmental Geologist
Practical Environmental Consultants, Inc.
1305 Remington Road, Suite A
Schaumburg, Illinois  60173"
79,EPA-R5-2014-004021,"Bridgeview Golf Course Property (a.k.a., proposed Kipp School)
located at
2668, 2718, 2727, 2738, and 2747 Agler Road, Columbus, Franklin County, Ohio"
80,EPA-R5-2014-004765,"I am searching for a position paper on recycling, possibly specifically on plastics, written by Millie Zantow of Wisconsin, probably in the early 1980s, and disseminated by the EPA during the years following."
81,EPA-R5-2013-003138,"To Whom It May Concern:

Through the Freedom of Information Act, I would like to obtain the following:

A listing of all active and closed Leaking Underground Storage Tank facilities located on Indian Land, for Region 5.

I would like the listing on CDRom or by email in Excel or format.  

Information I would like is:

Tribe name
Site Name     
Release Status         
Site Address 
Site city
Site Zip Code            
County           
Release Date            
Facility ID

I guarantee payment of cost up to $25.00.  If the cost will exceed this amount, please let me know.

Thank you for your assistance."
82,EPA-HQ-2015-002575,Requesting a copy of the Isagro studies in the attached pdf.
83,EPA-R4-2013-007171,"Dear Sir/Madam:

With respect to the LWD, Inc Site in Calvert City, Marshall County, KY, please send me each EPA After Action Report relating to the removal action(s) conducted thereon.

Removal action activities at the LWD, Inc. Site commenced in March 2006 and concluded with a Certificate of Completion issued by EPA in September 2009.

Further information regarding the removal action referenced by this request may be found at http://www.epaosc.org/site/polrep_list.aspx?site_id=2101

Thank you,
Tom Mesevage"
84,EPA-R10-2014-010476,"My company is conducting an assessment on the Safeway store located at 15805 Pacific Avenue S in Tacoma, Washington 98444 in conjunction with a lending transaction.

Can you please provide us with all the information that the Agency has on this property and all documentation that you have on file available for our review?

Thanks in advance for your assistance on this matter!"
85,CBP-2014-039618,I am requesting a copy of my own records regarding all of my entries that include any border apprehensions or encounters.
86,EPA-R10-2013-008064,"I would like to request the Notice of Violation issued by the EPA for NSR violations under the Clean Air Act, which resulted in a Consent Decree between the parties for:

- Conoco Phillips Global Refinery: Consent Decree Entered: 1/27/2005; NOV for violations at the Ferndale, WA location

I DO NOT NEED PAPER COPIES! Electronic versions would be perfect and much appreciated.
J."
87,DOC-NOAA-2014-001713,"Pursuant to the federal Freedom of Information Act, I am requesting the following records:

1. All expenses of the Western Pacific Fishery Management Council, including travel, per-diem, and council-member salary, related to sending a delegation to Washington, D.C., in September 2014.

2. Correspondence, including email exchanges, between council staff and White House staff engaged in arranging a meeting held September 9, 2014.

3. Correspondence, including email exchanges, between council staff and staff of the Council on Environmental Quality relating to a meeting held September 9, 2014.

4. Correspondence, including email exchanges, between council staff and members of Congress relating to meetings between members of the council delegation and members of Congress or their staffs.

5. Council expenses paid to design, write, and print a four-color background booklet presented to the Council on Environmental Quality at the meeting held September 9, 2014."
88,EPA-R10-2013-002264,"THIS IS A FREEDOM OF INFORMATION ACT REQUEST

VIA ONLINE SUBMISSION

Regional Freedom of Information Officer 
U.S. EPA, Region 10 
Office of External Affairs
1200 6th Avenue (CEC-142)
Seattle, WA 98101

Re:	Information Request - Vessel General Permit Enforcement

To Whom It May Concern:

Pursuant to the Freedom of Information Act, 5 U.S.C. § 552, I am writing to request copies of the following:

Information and correspondence in the possession, custody or control of the United States Environmental Protection Agency (?USEPA?) relating to or regarding any and all enforcement actions taken pursuant to the Vessel General Permit for Discharges Incidental to the Normal Operation of Vessels (VGP) including but not limited to complaint reports, inspection reports, notices of violation, letters of warning and responses to the same, administrative compliance orders, consent agreement and final orders, and attorney general referrals.

Should the Administration determine that any document contains information that is not subject to disclosure or is otherwise to be withheld, please produce the document with the withheld information redacted, only.  In the event that any document is withheld in its entirety, please provide a list identifying the withheld document and the justification for the same.

Please advise me regarding the anticipated costs associated with this request prior to proceeding.  Should you have any questions regarding this request, please do not hesitate to contact me at (314)588-7000.

Kind Regards,

/s/ Ryan E. Mohr

REM/jaw"
89,DOC-CEN-2015-000412,Requesting a listing of all Automated Export System Records for AMS Sales Corporation and American Medical Systems Inc. Please see incoming request.
90,EPA-R5-2013-001001,"Any and all documents generated by U.S. EPA, Region 5 from October 1, 2012 through October 31, 2012, pertaining to alleged violations in Michigan including:
All Administrative Complaints pertaining to Michigan sources.
All Clean Air Act Section 114a letters.
All notices of violation issued to sources in Michigan; and
The docket listings of all Administrative Complaints and letters/notices of violation issued to sources in Michigan."
